YEAR,SPINDEX,DIFFINDEX,LNSPINDEX,DIFFLNSP
1958.666667,50.06000137,4.819999695,3.913222313,0.101240625
1958.916667,55.20999908,5.149997711,4.01114408,0.097921766
1959.166667,55.43999863,0.229999543,4.01530133,0.00415725
1959.416667,58.47000122,3.030002594,4.068513823,0.053212493
1959.666667,56.88000107,-1.590000153,4.040943804,-0.027570019
1959.916667,59.88999939,3.009998322,4.092509536,0.051565732
1960.166667,55.34000015,-4.549999237,4.013495977,-0.079013559
1960.416667,56.91999817,1.579998016,4.041646741,0.028150764
1960.666667,53.52000046,-3.399997711,3.980055424,-0.061591317
1960.916667,58.11000061,4.590000152,4.062337777,0.082282352
1961.166667,65.05999756,6.949996949,4.175309884,0.112972107
1961.416667,64.63999939,-0.419998169,4.168833405,-0.006476479
1961.666667,66.73000336,2.090003967,4.200654677,0.031821272
1961.916667,71.55000305,4.819999695,4.270396549,0.069741871
1962.166667,69.55000305,-2,4.242045962,-0.028350586
1962.416667,54.75,-14.80000305,4.002777369,-0.239268594
1962.666667,56.27000046,1.520000458,4.030161542,0.027384173
1962.916667,63.09999847,6.829998016,4.144720745,0.114559204
1963.166667,66.5699997,3.470001221,4.198254021,0.053533276
1963.416667,69.37000275,2.800003052,4.239454537,0.041200516
1963.666667,71.69999695,2.329994201,4.272490705,0.033036168
1963.916667,75.01999664,3.319999695,4.3177547,0.045263995
1964.166667,78.98000336,3.960006714,4.369194698,0.051439998
1964.416667,81.69000244,2.709999084,4.402931625,0.033736927
1964.666667,84.18000031,2.489997864,4.432957367,0.030025742
1964.916667,84.75,0.569999695,4.439705746,0.006748379
1965.166667,86.16000366,1.410003662,4.456206075,0.016500329
1965.416667,84.12000275,-2.040000915,4.432244383,-0.023961692
1965.666667,89.95999908,5.839996337,4.499365117,0.067120733
1965.916667,92.43000031,2.470001221,4.526451605,0.027086488
1966.166667,89.23000336,-3.199996948,4.491217344,-0.035234261
1966.416667,84.73999786,-4.490005493,4.43958772,-0.051629624
1966.666667,76.55999756,-8.180000305,4.338074715,-0.101513005
1966.916667,80.33000183,3.770004272,4.386143173,0.048068458
1967.166667,90.19999695,9.869995117,4.502029393,0.11588622
1967.416667,90.63999939,0.440002442,4.50689561,0.004866217
1967.666667,96.70999908,6.069999694,4.5717168,0.06482119
1967.916667,96.47000122,-0.239997863,4.569232092,-0.002484708
1968.166667,90.19999695,-6.270004273,4.502029393,-0.067202699
1968.416667,99.58000183,9.380004883,4.60096136,0.098931966
1968.666667,102.6699982,3.089996339,4.631519943,0.030558584
1968.916667,103.8600006,1.19000244,4.643043844,0.011523901
1969.166667,101.5100021,-2.34999847,4.620157337,-0.022886507
1969.416667,97.70999908,-3.800003056,4.582003899,-0.038153438
1969.666667,93.12000275,-4.589996337,4.533889013,-0.048114885
1969.916667,92.05999756,-1.060005188,4.522440512,-0.011448502
1970.166667,89.62999725,-2.430000306,4.495690055,-0.026750457
1970.416667,72.72000122,-16.90999603,4.286616467,-0.209073588
1970.666667,84.20999908,11.48999786,4.433313668,0.146697202
1970.916667,92.15000153,7.940002442,4.523417701,0.090104033
1971.166667,100.3099976,8.159996034,4.608265367,0.084847666
1971.416667,99.69999695,-0.610000612,4.602165646,-0.00609972
1971.666667,98.33999634,-1.36000061,4.588430825,-0.013734822
1971.916667,102.0899963,3.750000002,4.625854741,0.037423917
1972.166667,107.199997,5.11000061,4.67469622,0.048841479
1972.416667,107.1399994,-0.05999756,4.674136385,-0.000559835
1972.666667,110.5500031,3.41000366,4.705467935,0.03133155
1972.916667,118.0500031,7.5,4.771108289,0.065640354
1973.166667,111.5199966,-6.53000641,4.714203917,-0.056904372
1973.416667,104.2600021,-7.2599945,4.6468878,-0.067316117
1973.666667,108.4300003,4.16999817,4.686104806,0.039217006
1973.916667,97.55000305,-10.87999726,4.580365098,-0.105739708
1974.166667,93.98000336,-3.569999695,4.543082029,-0.037283069
1974.416667,86,-7.980003357,4.454347296,-0.088734733
1974.666667,63.54000092,-22.45999908,4.151669643,-0.302677653
1974.916667,68.55999756,5.019996643,4.227709239,0.076039595
1975.166667,83.36000061,14.80000305,4.423168585,0.195459347
1975.416667,95.19000244,11.83000183,4.55587492,0.132706335
1975.666667,83.87000275,-11.31999969,4.429268014,-0.126606906
1975.916667,90.19000244,6.319999694,4.501918583,0.072650569
1976.166667,102.7699966,12.5799942,4.632493449,0.130574866
1976.416667,104.2799988,1.51000214,4.647079577,0.014586128
1976.666667,105.2399979,0.95999908,4.656243436,0.009163858
1976.916667,107.4599991,2.22000122,4.677118677,0.020875241
1977.166667,98.41999817,-9.040000911,4.589244017,-0.08787466
1977.416667,100.4800034,2.060005191,4.609958736,0.020714719
1977.666667,96.52999878,-3.950004581,4.569853828,-0.040104908
1977.916667,95.09999847,-1.430000305,4.554928954,-0.014924875
1978.166667,89.20999908,-5.88999939,4.490993131,-0.063935823
1978.416667,95.52999878,6.319999695,4.559440322,0.068447191
1978.666667,102.5400009,7.010002141,4.630252975,0.070812654
1978.916667,96.11000061,-6.43000031,4.565493375,-0.0647596
1979.166667,101.5899963,5.47999573,4.620945069,0.055451694
1979.416667,102.9100037,1.32000732,4.633854855,0.012909786
1979.666667,109.3199997,6.40999603,4.694279358,0.060424503
1979.916667,107.9400024,-1.37999725,4.68157554,-0.012703818
1980.166667,102.0899963,-5.8500061,4.625854741,-0.055720798
1980.416667,114.2399979,12.15000152,4.73830148,0.112446739
1980.666667,125.4599991,11.22000122,4.831986975,0.093685495
1980.916667,135.7599945,10.29999543,4.91088858,0.078901605
1981.166667,136,0.24000549,4.912654886,0.001766305
1981.416667,131.2100067,-4.78999329,4.876799144,-0.035855741
1981.666667,116.1800003,-15.0300064,4.755140715,-0.121658429
1981.916667,122.5500031,6.37000274,4.808519135,0.05337842
1982.166667,111.9599991,-10.59000397,4.718141656,-0.090377478
1982.416667,109.6100006,-2.34999847,4.696928617,-0.02121304
1982.666667,120.4199982,10.80999756,4.790985617,0.094057
1982.916667,140.6399994,20.22000122,4.94620343,0.155217813
1983.166667,152.9600067,12.32000732,5.030176493,0.083973064
1983.416667,168.1100006,15.1499939,5.124618531,0.094442038
1983.666667,166.0700073,-2.03999329,5.11240943,-0.0122091
1983.916667,164.9299927,-1.14001464,5.105521097,-0.006888333
1984.166667,159.1799927,-5.75,5.070035591,-0.035485506
1984.416667,153.1799927,-6,5.031613653,-0.038421939
1984.666667,166.1000061,12.92001342,5.112590053,0.080976401
1984.916667,167.2400055,1.13999939,5.119429939,0.006839886
1985.166667,180.6600037,13.41999817,5.196616832,0.077186893
1985.416667,191.8500061,11.19000244,5.256713848,0.060097017
1985.666667,182.0800018,-9.77000427,5.204446161,-0.052267688
1985.916667,211.2799988,29.19999695,5.353184262,0.148738101
1986.166667,238.8999939,27.61999512,5.476045029,0.122860767
1986.416667,250.8399963,11.94000244,5.524815271,0.048770242
1986.666667,231.3200073,-19.51998902,5.443802065,-0.081013206
1986.916667,242.1699982,10.84999085,5.489639951,0.045837886
1987.166667,291.7000122,49.53001404,5.675725919,0.186085967
1987.416667,304,12.29998779,5.717027701,0.041301783
1987.666667,321.8299866,17.82998657,5.774023414,0.056995713
1987.916667,247.0800018,-74.74998474,5.509712178,-0.264311236
